Coordinates (in mm) in engineering system:
(x is right, y is up looking from center
of mirror dish, in park position)

pix. id      x            y
------------------------------
   0       0.0000       0.0000
   1      32.7327      37.7964
   2     -16.3663      47.2456
   3     -49.0990       9.4491
   4     -32.7327     -37.7964
   5      16.3663     -47.2456
   6      49.0990      -9.4491
   7      65.4654      75.5929
   8      16.3663      85.0420
   9     -32.7327      94.4911
  10     -65.4654      56.6947
  11     -98.1981      18.8982
  12     -81.8317     -28.3473
  13     -65.4654     -75.5929
  14     -16.3663     -85.0420
  15      32.7327     -94.4911
  16      65.4654     -56.6947
  17      98.1981     -18.8982
  18      81.8317      28.3473
  19      98.1981     113.3893
  20      49.0990     122.8385
  21       0.0000     132.2876
  22     -49.0990     141.7367
  23     -81.8317     103.9402
  24    -114.5644      66.1438
  25    -147.2971      28.3473
  26    -130.9307     -18.8982
  27    -114.5644     -66.1438
  28     -98.1981    -113.3893
  29     -49.0990    -122.8385
  30       0.0000    -132.2876
  31      49.0990    -141.7367
  32      81.8317    -103.9402
  33     114.5644     -66.1438
  34     147.2971     -28.3473
  35     130.9307      18.8982
  36     114.5644      66.1438
  37     130.9307     151.1858
  38      81.8317     160.6349
  39      32.7327     170.0840
  40     -16.3663     179.5331
  41     -65.4654     188.9822
  42     -98.1981     151.1858
  43    -130.9307     113.3893
  44    -163.6634      75.5929
  45    -196.3961      37.7964
  46    -180.0298      -9.4491
  47    -163.6634     -56.6947
  48    -147.2971    -103.9402
  49    -130.9307    -151.1858
  50     -81.8317    -160.6349
  51     -32.7327    -170.0840
  52      16.3663    -179.5331
  53      65.4654    -188.9822
  54      98.1981    -151.1858
  55     130.9307    -113.3893
  56     163.6634     -75.5929
  57     196.3961     -37.7964
  58     180.0298       9.4491
  59     163.6634      56.6947
  60     147.2971     103.9402
  61     163.6634     188.9822
  62     114.5644     198.4313
  63      65.4654     207.8805
  64      16.3663     217.3296
  65     -32.7327     226.7787
  66     -81.8317     236.2278
  67    -114.5644     198.4313
  68    -147.2971     160.6349
  69    -180.0298     122.8385
  70    -212.7624      85.0420
  71    -245.4951      47.2456
  72    -229.1288       0.0000
  73    -212.7624     -47.2456
  74    -196.3961     -94.4911
  75    -180.0298    -141.7367
  76    -163.6634    -188.9822
  77    -114.5644    -198.4313
  78     -65.4654    -207.8805
  79     -16.3663    -217.3296
  80      32.7327    -226.7787
  81      81.8317    -236.2278
  82     114.5644    -198.4313
  83     147.2971    -160.6349
  84     180.0298    -122.8385
  85     212.7624     -85.0420
  86     245.4951     -47.2456
  87     229.1288       0.0000
  88     212.7624      47.2456
  89     196.3961      94.4911
  90     180.0298     141.7367
  91     196.3961     226.7787
  92     147.2971     236.2278
  93      98.1980     245.6769
  94      49.0990     255.1260
  95       0.0000     264.5751
  96     -49.0990     274.0242
  97     -98.1981     283.4734
  98    -130.9307     245.6769
  99    -163.6634     207.8805
 100    -196.3961     170.0840
 101    -229.1288     132.2876
 102    -261.8615      94.4911
 103    -294.5942      56.6947
 104    -278.2278       9.4491
 105    -261.8615     -37.7964
 106    -245.4951     -85.0420
 107    -229.1288    -132.2876
 108    -212.7624    -179.5331
 109    -196.3961    -226.7787
 110    -147.2971    -236.2278
 111     -98.1980    -245.6769
 112     -49.0990    -255.1260
 113       0.0000    -264.5751
 114      49.0990    -274.0242
 115      98.1981    -283.4734
 116     130.9307    -245.6769
 117     163.6634    -207.8805
 118     196.3961    -170.0840
 119     229.1288    -132.2876
 120     261.8615     -94.4911
 121     294.5942     -56.6947
 122     278.2278      -9.4491
 123     261.8615      37.7964
 124     245.4951      85.0420
 125     229.1288     132.2876
 126     212.7624     179.5331
 127     229.1288     264.5751
 128     180.0298     274.0242
 129     130.9307     283.4734
 130      81.8317     292.9225
 131      32.7327     302.3716
 132     -16.3663     311.8207
 133     -65.4654     321.2698
 134    -114.5644     330.7189
 135    -147.2971     292.9225
 136    -180.0298     255.1260
 137    -212.7624     217.3296
 138    -245.4951     179.5331
 139    -278.2278     141.7367
 140    -310.9605     103.9402
 141    -343.6932      66.1438
 142    -327.3268      18.8982
 143    -310.9605     -28.3473
 144    -294.5942     -75.5929
 145    -278.2278    -122.8385
 146    -261.8615    -170.0840
 147    -245.4951    -217.3296
 148    -229.1288    -264.5751
 149    -180.0298    -274.0242
 150    -130.9307    -283.4734
 151     -81.8317    -292.9225
 152     -32.7327    -302.3716
 153      16.3663    -311.8207
 154      65.4654    -321.2698
 155     114.5644    -330.7189
 156     147.2971    -292.9225
 157     180.0298    -255.1260
 158     212.7624    -217.3296
 159     245.4951    -179.5331
 160     278.2278    -141.7367
 161     310.9605    -103.9402
 162     343.6932     -66.1438
 163     327.3268     -18.8982
 164     310.9605      28.3473
 165     294.5942      75.5929
 166     278.2278     122.8385
 167     261.8615     170.0840
 168     245.4951     217.3296
 169     261.8615     302.3716
 170     212.7624     311.8207
 171     163.6634     321.2698
 172     114.5644     330.7189
 173      65.4654     340.1680
 174      16.3663     349.6171
 175     -32.7327     359.0662
 176     -81.8317     368.5154
 177    -130.9307     377.9645
 178    -163.6634     340.1680
 179    -196.3961     302.3716
 180    -229.1288     264.5751
 181    -261.8615     226.7787
 182    -294.5942     188.9822
 183    -327.3268     151.1858
 184    -360.0595     113.3893
 185    -392.7922      75.5929
 186    -376.4259      28.3473
 187    -360.0595     -18.8982
 188    -343.6932     -66.1438
 189    -327.3268    -113.3893
 190    -310.9605    -160.6349
 191    -294.5942    -207.8805
 192    -278.2278    -255.1260
 193    -261.8615    -302.3716
 194    -212.7624    -311.8207
 195    -163.6634    -321.2698
 196    -114.5644    -330.7189
 197     -65.4654    -340.1680
 198     -16.3663    -349.6171
 199      32.7327    -359.0662
 200      81.8317    -368.5154
 201     130.9307    -377.9645
 202     163.6634    -340.1680
 203     196.3961    -302.3716
 204     229.1288    -264.5751
 205     261.8615    -226.7787
 206     294.5942    -188.9822
 207     327.3268    -151.1858
 208     360.0595    -113.3893
 209     392.7922     -75.5929
 210     376.4259     -28.3473
 211     360.0595      18.8982
 212     343.6932      66.1438
 213     327.3268     113.3893
 214     310.9605     160.6349
 215     294.5942     207.8805
 216     278.2278     255.1260
 217     294.5942     340.1680
 218     245.4951     349.6171
 219     196.3961     359.0663
 220     147.2971     368.5154
 221      98.1980     377.9645
 222      49.0990     387.4136
 223       0.0000     396.8627
 224     -49.0990     406.3118
 225     -98.1981     415.7609
 226    -147.2971     425.2100
 227    -180.0298     387.4136
 228    -212.7624     349.6171
 229    -245.4951     311.8207
 230    -278.2278     274.0242
 231    -310.9605     236.2278
 232    -343.6932     198.4313
 233    -376.4259     160.6349
 234    -409.1585     122.8385
 235    -441.8912      85.0420
 236    -425.5249      37.7964
 237    -409.1585      -9.4491
 238    -392.7922     -56.6947
 239    -376.4259    -103.9402
 240    -360.0595    -151.1858
 241    -343.6932    -198.4313
 242    -327.3268    -245.6769
 243    -310.9605    -292.9225
 244    -294.5942    -340.1680
 245    -245.4951    -349.6171
 246    -196.3961    -359.0663
 247    -147.2971    -368.5154
 248     -98.1980    -377.9645
 249     -49.0990    -387.4136
 250       0.0000    -396.8627
 251      49.0990    -406.3118
 252      98.1981    -415.7609
 253     147.2971    -425.2100
 254     180.0298    -387.4136
 255     212.7624    -349.6171
 256     245.4951    -311.8207
 257     278.2278    -274.0242
 258     310.9605    -236.2278
 259     343.6932    -198.4313
 260     376.4259    -160.6349
 261     409.1585    -122.8385
 262     441.8912     -85.0420
 263     425.5249     -37.7964
 264     409.1585       9.4491
 265     392.7922      56.6947
 266     376.4259     103.9402
 267     360.0595     151.1858
 268     343.6932     198.4313
 269     327.3268     245.6769
 270     310.9605     292.9225
 271     327.3268     377.9645
 272     278.2278     387.4136
 273     229.1288     396.8627
 274     180.0298     406.3118
 275     130.9307     415.7609
 276      81.8317     425.2100
 277      32.7327     434.6591
 278     -16.3663     444.1083
 279     -65.4654     453.5574
 280    -114.5644     463.0065
 281    -163.6634     472.4556
 282    -196.3961     434.6591
 283    -229.1288     396.8627
 284    -261.8615     359.0662
 285    -294.5942     321.2698
 286    -327.3268     283.4734
 287    -360.0595     245.6769
 288    -392.7922     207.8805
 289    -425.5249     170.0840
 290    -458.2576     132.2876
 291    -490.9903      94.4911
 292    -474.6239      47.2456
 293    -458.2576       0.0000
 294    -441.8912     -47.2456
 295    -425.5249     -94.4911
 296    -409.1585    -141.7367
 297    -392.7922    -188.9822
 298    -376.4259    -236.2278
 299    -360.0595    -283.4734
 300    -343.6932    -330.7189
 301    -327.3268    -377.9645
 302    -278.2278    -387.4136
 303    -229.1288    -396.8627
 304    -180.0298    -406.3118
 305    -130.9307    -415.7609
 306     -81.8317    -425.2100
 307     -32.7327    -434.6591
 308      16.3663    -444.1083
 309      65.4654    -453.5574
 310     114.5644    -463.0065
 311     163.6634    -472.4556
 312     196.3961    -434.6591
 313     229.1288    -396.8627
 314     261.8615    -359.0662
 315     294.5942    -321.2698
 316     327.3268    -283.4734
 317     360.0595    -245.6769
 318     392.7922    -207.8805
 319     425.5249    -170.0840
 320     458.2576    -132.2876
 321     490.9903     -94.4911
 322     474.6239     -47.2456
 323     458.2576       0.0000
 324     441.8912      47.2456
 325     425.5249      94.4911
 326     409.1585     141.7367
 327     392.7922     188.9822
 328     376.4259     236.2278
 329     360.0595     283.4734
 330     343.6932     330.7189
 331     360.0595     415.7609
 332     310.9605     425.2100
 333     261.8615     434.6591
 334     212.7624     444.1083
 335     163.6634     453.5574
 336     114.5644     463.0065
 337      65.4654     472.4556
 338      16.3663     481.9047
 339     -32.7327     491.3538
 340     -81.8317     500.8029
 341    -130.9307     510.2520
 342    -180.0298     519.7011
 343    -212.7624     481.9047
 344    -245.4951     444.1083
 345    -278.2278     406.3118
 346    -310.9605     368.5154
 347    -343.6932     330.7189
 348    -376.4259     292.9225
 349    -409.1585     255.1260
 350    -441.8912     217.3296
 351    -474.6239     179.5331
 352    -507.3566     141.7367
 353    -540.0893     103.9402
 354    -523.7229      56.6947
 355    -507.3566       9.4491
 356    -490.9903     -37.7964
 357    -474.6239     -85.0420
 358    -458.2576    -132.2876
 359    -441.8912    -179.5331
 360    -425.5249    -226.7787
 361    -409.1585    -274.0242
 362    -392.7922    -321.2698
 363    -376.4259    -368.5154
 364    -360.0595    -415.7609
 365    -310.9605    -425.2100
 366    -261.8615    -434.6591
 367    -212.7624    -444.1083
 368    -163.6634    -453.5574
 369    -114.5644    -463.0065
 370     -65.4654    -472.4556
 371     -16.3663    -481.9047
 372      32.7327    -491.3538
 373      81.8317    -500.8029
 374     130.9307    -510.2520
 375     180.0298    -519.7011
 376     212.7624    -481.9047
 377     245.4951    -444.1083
 378     278.2278    -406.3118
 379     310.9605    -368.5154
 380     343.6932    -330.7189
 381     376.4259    -292.9225
 382     409.1585    -255.1260
 383     441.8912    -217.3296
 384     474.6239    -179.5331
 385     507.3566    -141.7367
 386     540.0893    -103.9402
 387     523.7229     -56.6947
 388     507.3566      -9.4491
 389     490.9903      37.7964
 390     474.6239      85.0420
 391     458.2576     132.2876
 392     441.8912     179.5331
 393     425.5249     226.7787
 394     409.1585     274.0242
 395     392.7922     321.2698
 396     376.4259     368.5154
 397     392.7922     453.5574
 398     343.6932     463.0065
 399     294.5942     472.4556
 400     245.4951     481.9047
 401     196.3961     491.3538
 402     147.2971     500.8029
 403      98.1980     510.2520
 404      49.0990     519.7012
 405       0.0000     529.1503
 406     -49.0990     538.5994
 407     -98.1981     548.0485
 408    -147.2971     557.4976
 409    -196.3961     566.9467
 410    -229.1288     529.1503
 411    -261.8615     491.3538
 412    -294.5942     453.5574
 413    -327.3268     415.7609
 414    -360.0595     377.9645
 415    -392.7922     340.1680
 416    -425.5249     302.3716
 417    -458.2576     264.5751
 418    -490.9903     226.7787
 419    -523.7229     188.9822
 420    -556.4556     151.1858
 421    -589.1883     113.3893
 422    -572.8220      66.1438
 423    -556.4556      18.8982
 424    -540.0893     -28.3473
 425    -523.7229     -75.5929
 426    -507.3566    -122.8385
 427    -490.9903    -170.0840
